Code	cofoc	classification	Service and function	Total
308	 Fuel and energy	Economic Affairs	Ministry of Energy	1165492000
331	 Fuel and energy	Economic Affairs	Ministry of  Science Technology and Environment	3744560000
501	 Fuel and energy	Economic Affairs	MOF Policy Financing	25033414000
307	Mining,  manufacturing and construction	Economic Affairs	Ministry of Industry	74483000
337	Mining,  manufacturing and construction	Economic Affairs	Ministry of Physical Infrastructure and Transport	1320000000
337	Transport	Economic Affairs	Ministry of Physical Infrastructure and Transport	33901282000
347	Transport	Economic Affairs	MInistry of Urban Development	670798000
365	Transport	Economic Affairs	Ministry of Federal Affairs and Local Development	6121281000
501	Transport	Economic Affairs	MOF Policy Financing	1315000000
332	Communication	Economic Affairs	Ministry of Science & Technology	0
358	Communication	Economic Affairs	Ministry of Information and Communications	3408195000
501	Communication	Economic Affairs	MOF Policy Financing	240000000
307	Other industries	Economic Affairs	Ministry of Industry	2815326000
312	Other industries	Economic Affairs	Ministry of Agriculture Development	63843000
325	Other industries	Economic Affairs	Ministry of Cultur Tourism and Civil Aviation	1218978000
329	Other industries	Economic Affairs	Ministry of Forestry and Soil Conservation	37300000
308	R&D Economic affairs	Economic Affairs	Ministry of Energy	500725000
357	R&D Economic affairs	Economic Affairs	Ministry of Irrigation	297269000
305	Economic affairs n.e.c.	Economic Affairs	Ministry of Finance	59222000
501	Economic affairs n.e.c.	Economic Affairs	MOF Policy Financing	132000000
347	Waste Management	 ENVIRONMENTAL PROTECTION	MInistry of Urban Development	335499000
501	Waste Management	 ENVIRONMENTAL PROTECTION	MOF Policy Financing	2028100000
347	 Waste water management	 ENVIRONMENTAL PROTECTION	MInistry of Urban Development	173519000
357	 Waste water management	 ENVIRONMENTAL PROTECTION	Ministry of Irrigation	1010080000
329	 Protection of biodiversity and landscape	 ENVIRONMENTAL PROTECTION	Ministry of Forestry and Soil Conservation	31443000
501	 R&D Environmental protection	 ENVIRONMENTAL PROTECTION	MOF Policy Financing	12000000
329	 Environmental protection n.e.c.	 ENVIRONMENTAL PROTECTION	Ministry of Forestry and Soil Conservation	12000000
331	 Environmental protection n.e.c.	 ENVIRONMENTAL PROTECTION	Ministry of  Science Technology and Environment	1428207000
347	 Environmental protection n.e.c.	 ENVIRONMENTAL PROTECTION	MInistry of Urban Development	2650426000
365	 Environmental protection n.e.c.	 ENVIRONMENTAL PROTECTION	Ministry of Federal Affairs and Local Development	0
347	 Housing development	Housing and Commnity Amenities	MInistry of Urban Development	2871439000
501	 Housing development	Housing and Commnity Amenities	MOF Policy Financing	600000000
365	 Community development	Housing and Commnity Amenities	Ministry of Federal Affairs and Local Development	0
347	  Water supply	Housing and Commnity Amenities	MInistry of Urban Development	11015494000
365	  Water supply	Housing and Commnity Amenities	Ministry of Federal Affairs and Local Development	580320000
501	  Water supply	Housing and Commnity Amenities	MOF Policy Financing	1459432000
365	 Housing and community amenities n.e.c.	Housing and Commnity Amenities	Ministry of Federal Affairs and Local Development	1459877000
370	Medical products, appliances and equipment	HEALTH	Ministry of Health and Population	1128611000
330	 Out-patient services	HEALTH	Ministry of Commerce and Supply	130000000
370	 Out-patient services	HEALTH	Ministry of Health and Population	4506294000
314	 Hospital services	HEALTH	Ministry of Home	346934000
345	 Hospital services	HEALTH	Ministry of Defence	489779000
370	 Hospital services	HEALTH	Ministry of Health and Population	5831621000
601	 Hospital services	HEALTH	MOF Staff Benifits and Retirement Benefits	2500000000
370	 Public health services	HEALTH	Ministry of Health and Population	15023734000
370	 R&D Health	HEALTH	Ministry of Health and Population	3742728000
343	 Recreational and sporting services	RECREATION,CULTURE AND RELIGION	Ministry of Youth and Sports	1265767000
325	 Cultural services	RECREATION,CULTURE AND RELIGION	Ministry of Culture,Tourism and Civil Aviation	1485136000
365	 Cultural services	RECREATION,CULTURE AND RELIGION	Ministry of Federal Affairs and Local Development	63400000
358	 Broadcasting and publishing services	RECREATION,CULTURE AND RELIGION	Ministry of Information and Communications	471155000
350	 Pre-primary and primary education	EDUCATION	Ministry of Education	26410007000
350	 Secondary education	EDUCATION	Ministry of Education	13505396000
350	 Education not definable by level	EDUCATION	Ministry of Education	26165369000
350	 Subsidiary services to education	EDUCATION	Ministry of Education	13824244000
350	 Education n.e.c.	EDUCATION	Ministry of Education	1053070000
501	 Survivors	SOCIAL PROTECTION	MOF Policy Financing	1991565000
365	 Family and children	SOCIAL PROTECTION	Ministry of Federal Affairs and Local Development	590600000
370	 Family and children	SOCIAL PROTECTION	Ministry of Health and Population	199208000
301	 Social exclusion n.e.c.	SOCIAL PROTECTION	Prime Minister and Council of Minister's Office	28573000
365	 Social exclusion n.e.c.	SOCIAL PROTECTION	Ministry of Federal Affairs and Local Development	11509054000
371	 R&D Social protection	SOCIAL PROTECTION	Ministry of Labour and Employment	90469000
340	 Social protection n.e.c.	SOCIAL PROTECTION	Ministry of Women, Children & Social Welfare	1584666000
349	 Social protection n.e.c.	SOCIAL PROTECTION	Ministry of Peace & Reconstruction	100000000
